"Timestamp","First person: ""Don flew to Vancouver yesterday!""
How much do you expect the second person to next talk about why Don flew to Vancouver?","First person: “Rachel brought maple sirup to the party!”
How much do you expect the second person to next talk about why Rachel brought maple sirup to the party?","First person: “Mary bought rounds of drinks at the bar last night!”
How much do you expect the second person to next talk about how Mary is doing financially?","First person: ""The movie you recommended was terrible!""
How much do you expect the second person to next talk about their nephew's wedding plans?","First person: “Bob refused to pay Mary’s cab fare!”
How much do you expect the second person to next talk about why Bob refused to pay Mary's cab fare?","First person: “Jessica just walked away from Dan in the middle of their conversation!”
How much do you expect the second person to next talk about why Jessica walked away?","First person: “Dan brought a tooth brush to the party!”
How much do you expect the second person to next talk about why Dan brought a tooth brush to the party?","First person: ""Don flew to Vancouver yesterday!"" 
Second person: “Did Carol discover that he’s Canadian?”
How certain is the second person that Don is Canadian?","First person: “Bob refused to pay Mary’s cab fare!” 
Second person: “Did Bob realize that Mary’s wealthy?”
How certain is the second person that Mary is wealthy?","First person: “Jessica just walked away from Katia in the middle of their conversation!” 
Second person: “Did Jessica notice that Katia has bad breath?”
How certain is the second person that Katia has bad breath?","First person: ""The movie you recommended was terrible!""
Second person: ""Do you know that the main actor is really famous?"" 
How certain is the second person that the main actor from the movie is really famous?","First person: “Rachel brought maple sirup to the party!” 
Second person: “Did Rachel discover that the host is Canadian?”
How certain is the second person that the host is Canadian?","First person: “Mary bought rounds of drinks at the bar last night!” 
Second person: “Did her boyfriend realize that she’s wealthy?”
How certain is the second person that Mary is wealthy?","First person: “Dan brought a tooth brush to the party!” 
Second person: “Did Lily notice that Dan has bad breath?”
How certain is the second person that Dan has bad breath?"
"2023/06/14 5:32:40 PM GMT+3","4","4","1","1","4","5","4","4","5","5","5","5","5","5"
"2023/06/14 5:44:36 PM GMT+3","5","5","4","1","5","4","5","4","3","4","4","3","3","4"
"2023/06/14 5:47:01 PM GMT+3","4","2","2","1","5","5","5","2","3","2","4","4","3","4"
"2023/06/14 5:48:38 PM GMT+3","4","5","3","1","4","4","5","4","4","4","5","5","4","3"
"2023/06/14 5:49:21 PM GMT+3","5","4","2","1","5","5","5","4","4","5","4","4","4","4"
"2023/06/14 5:49:56 PM GMT+3","5","2","5","5","3","2","1","5","4","5","3","3","4","5"
"2023/06/14 5:50:41 PM GMT+3","4","4","4","1","4","4","4","5","4","4","5","3","4","4"
"2023/06/14 5:51:18 PM GMT+3","5","4","2","2","5","5","5","4","4","3","3","3","4","3"
"2023/06/14 5:53:46 PM GMT+3","4","2","4","4","2","3","4","3","2","4","3","1","3","4"
"2023/06/14 5:54:08 PM GMT+3","4","5","2","1","5","5","5","5","5","4","5","5","4","5"
"2023/06/14 5:54:33 PM GMT+3","4","3","3","1","3","3","3","5","4","1","5","2","4","1"
"2023/06/14 5:54:38 PM GMT+3","3","4","3","2","2","2","2","3","2","3","2","3","4","2"
"2023/06/14 5:55:11 PM GMT+3","5","2","4","1","5","5","5","5","5","5","5","5","5","4"
"2023/06/14 5:56:08 PM GMT+3","4","2","1","1","5","4","3","5","3","4","5","2","4","4"
"2023/06/14 5:56:52 PM GMT+3","5","5","3","1","5","5","5","4","1","2","3","2","3","3"
"2023/06/14 5:57:50 PM GMT+3","4","5","3","4","4","3","5","4","5","3","4","3","4","4"
"2023/06/14 5:58:14 PM GMT+3","4","4","3","1","4","4","4","1","5","5","5","5","5","5"
"2023/06/14 5:59:09 PM GMT+3","4","4","4","1","4","4","4","5","5","5","5","5","5","5"
"2023/06/14 6:02:15 PM GMT+3","5","5","3","1","5","4","4","5","4","2","3","4","5","4"
"2023/06/14 7:06:40 PM GMT+3","4","2","1","1","3","5","4","5","4","4","5","2","3","2"
"2023/06/15 3:51:32 PM GMT+3","5","3","1","1","5","5","4","3","4","5","5","3","2","2"
"2023/06/15 3:52:42 PM GMT+3","5","5","1","1","5","5","5","5","5","3","5","4","4","4"
"2023/06/15 3:53:00 PM GMT+3","5","2","3","1","5","4","5","4","5","4","5","5","3","2"
"2023/06/15 3:53:03 PM GMT+3","5","5","1","1","5","5","5","4","4","4","4","4","4","4"
"2023/06/15 3:53:24 PM GMT+3","5","5","4","5","5","5","5","1","1","1","1","1","1","1"
"2023/06/15 3:53:42 PM GMT+3","4","5","2","1","5","4","5","2","5","5","5","5","5","4"
"2023/06/15 3:54:08 PM GMT+3","4","2","5","1","4","4","4","5","5","2","3","2","4","2"
"2023/06/15 3:54:08 PM GMT+3","4","3","1","1","4","4","5","2","2","4","2","2","2","1"
"2023/06/15 3:54:20 PM GMT+3","5","4","1","1","5","5","5","5","5","4","5","5","5","4"
"2023/06/15 3:54:21 PM GMT+3","4","4","3","2","5","4","5","3","3","3","5","3","4","4"
"2023/06/15 3:54:25 PM GMT+3","5","3","3","1","5","5","4","5","3","2","4","2","4","4"
"2023/06/15 3:54:25 PM GMT+3","4","2","4","1","5","4","5","3","1","2","4","3","4","2"
"2023/06/15 3:54:30 PM GMT+3","5","5","1","1","5","5","5","5","5","5","4","4","2","2"
"2023/06/15 3:54:53 PM GMT+3","5","4","1","1","4","3","5","5","5","5","5","5","5","5"
"2023/06/15 3:56:07 PM GMT+3","4","5","1","5","5","5","5","3","5","5","5","3","4","5"
"2023/06/15 3:56:11 PM GMT+3","5","5","1","1","5","5","5","5","4","3","5","3","4","3"
"2023/06/15 3:57:24 PM GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2023/06/15 3:58:33 PM GMT+3","4","4","4","3","3","4","5","4","3","4","3","3","3","3"
"2023/06/15 4:01:26 PM GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5"